,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway
0,0.11,0.11,-0.0,0.11,1024.4919854351888,-0.0,1024.4919854351888,0.09
1,1249.2295939287083,1249.2295939287083,-0.0,1249.2295939287083,0.1,-0.0,0.1,1033.9730579629634
2,1052.6144259597083,1052.6144259597083,-0.0,1052.6144259597083,1047.2823615586396,-0.0,1047.2823615586396,0.09
3,1052.6144259597083,1052.6144259597083,-0.0,1052.6144259597083,0.1,-0.0,0.1,1033.9730579629634
4,0.11,0.11,-0.0,0.11,1047.2823615586396,-0.0,1047.2823615586396,1033.9730579629634
5,1052.7493415973845,1052.7488021565173,-0.00373988900636404,1052.6144259597083,-0.1,0.0032980453245004355,0.1,1192.2243076799634
6,0.11,0.11,-0.0,0.11,1047.2823615586396,-0.0,1047.2823615586396,1033.9730579629634
7,1052.6144259597083,1052.6144259597083,-0.0,1052.6144259597083,1047.2823615586396,-0.0,1047.2823615586396,0.09
8,1052.6022249549226,1052.6204211342997,0.10036736428980247,1052.6144259597083,1047.2823615586396,0.0877909073400499,1047.2823615586396,512.0482713633303
9,0.11,0.11,-0.0,0.11,1149.9593145666397,-0.0,1149.9593145666397,0.09
