,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway DC
0,-0.00018154511574417425,-0.0003681028183085933,-0.00028133000397976285,0.0005496479340527675,-0.00028384470778296397,-0.001275386714662201,0.0002838447077829639,0.0015567167186419633
1,-0.001039903931853581,-0.0011061650687589364,0.001922904072889722,0.0021460690006125174,0.0001333868719570638,-0.002820755054664838,-0.00013338687195706378,0.0008978509817751153
2,-0.00039086312382718177,-0.0005671597992834943,0.00018893351155633043,0.0009580229231106762,0.00015992139127105268,-0.0017375803279097957,-0.00015992139127105266,0.0015486468163534645
3,-0.00032220760747503737,-0.0005660069915049168,-0.00019146369750603338,0.0008882145989799542,1.7032497434902977e-05,-0.0018729460058940458,-1.7032497434902977e-05,0.0020644097034000783
4,-0.0002236057485956696,-0.00031440474306029776,0.0001435477781012006,0.0005380104916559674,-0.0006955288503934904,-0.00094904049022241,0.0006955288503934904,0.000805492712121209
5,-0.0011834025193425515,-0.001492273690835078,0.0013650285067635212,0.0026756762101776297,0.0009682783335149584,-0.004254576987776783,-0.0009682783335149584,0.0028895484810132596
6,-0.0004690063827352421,-0.0006946246251978472,0.0001770747826528349,0.0011636310079330893,6.952444392285329e-05,-0.0021479425869167876,-6.952444392285328e-05,0.0019708678042639517
7,-0.0008463431864057011,-0.0008102173373267635,0.0018825235945322605,0.0016565605237324648,0.00012589162394529096,-0.0018927993547417003,-0.00012589162394529096,1.027576020943928e-05
8,-0.0010114382016555643,-0.0014142222331033052,0.000677265909840591,0.0024256604347588696,0.0006053722816736843,-0.004257333091283167,-0.0006053722816736842,0.0035800671814425747
9,-0.0006090932328958204,-0.0005755206410576422,0.0013815131924904398,0.0011846138739534627,-0.00076425874748241,-0.001328316816158268,0.00076425874748241,-5.319637633217214e-05
